season,fullName,total_runs,HS,four's,sixe's,100s,50s,strikerate,no_of_boundaries,boundary%
2008,Matthew Hayden,189,81,24,6,0,2,133.6,30,15.87301587
2008,Michael Hussey,168,116,12,11,1,0,132.46,23,13.69047619
2008,MS Dhoni,414,65,38,15,0,2,122.72,53,12.80193237
2008,Suresh Raina,421,55,35,18,0,3,130.3,53,12.58907363
2008,Jacob Oram,18,13,1,1,0,0,190,2,11.11111111
2008,S Badrinath,192,64,21,8,0,2,144.42,29,15.10416667
2008,Stephen Fleming,196,45,27,3,0,0,106.23,30,15.30612245
2008,Vidyut Sivaramakrishnan,145,54,21,3,0,1,114.41,24,16.55172414
2008,Albie Morkel,241,71,18,14,0,1,131.71,32,13.2780083
2008,Joginder Sharma,16,16,1,1,0,0,80,2,12.5
2008,Manpreet Gony,35,15,2,3,0,0,137,5,14.28571429
2008,Muttiah Muralitharan,0,0,0,0,0,0,0,0,
2008,Makhaya Ntini,11,11,2,0,0,0,45.83,2,18.18181818
2008,Srikkanth Anirudha,1,1,0,0,0,0,14.28,0,0
2008,Chamara Kapugedera,16,8,0,0,0,0,51.85,0,0
2008,Lakshmipathy Balaji,0,0,0,0,0,0,0,0,
2008,Abhinav Mukund,0,0,0,0,0,0,0,0,
